entity,type
STUDENT,ORGANIZATION
PHOTO,ORGANIZATION
VIDEO,ORGANIZATION
MEDIA,ORGANIZATION
SOCIAL,ORGANIZATION
DIGITAL,ORGANIZATION
CRYPTO,ORGANIZATION
Geographic,PERSON
NEW,ORGANIZATION
INDIA,GPE
CHENNAI,ORGANIZATION
TAMIL,ORGANIZATION
INDIA,GPE
TAMIL,ORGANIZATION
INDIA,GPE
INDIA,GPE
Vijay,PERSON
TVK,ORGANIZATION
Dateline,PERSON
Delhi Body Chennai,PERSON
Vijay,PERSON
Tamilaga Vettri Kazhagam,PERSON
TVK,ORGANIZATION
Panaiyur,GPE
TVK,ORGANIZATION
Puducherry MLA,PERSON
Bussy Anand.,PERSON
TVK,ORGANIZATION
Tamil Nadu,PERSON
Coimbatore,GPE
Salem,GPE
Party,GPE
Vijay,PERSON
TVK,ORGANIZATION
Tamil Nadu,PERSON
TVK,ORGANIZATION
Villupuram,GPE
Vijay,PERSON
Dravidian,GPE
Tamil,PERSON
Vikkaravandi,GPE
Tamil,GPE
Vijay,PERSON
Dravida Munnetra Kazhagam,ORGANIZATION
DMK,ORGANIZATION
Dravidian,GPE
Bharatiya Janata Party,ORGANIZATION
BJP,ORGANIZATION
Vijay,PERSON
Naam Tamilar Katchi,PERSON
NTK,ORGANIZATION
Seeman,PERSON
TVK,ORGANIZATION
All India Anna Dravida Munnetra Kazhagam,ORGANIZATION
AIADMK,ORGANIZATION
Vijay,PERSON
TVK,ORGANIZATION
BJP,ORGANIZATION
DMK,ORGANIZATION
NEET,ORGANIZATION
Vijay,PERSON
TVK,ORGANIZATION
TALKS,ORGANIZATION
MEETINGS,ORGANIZATION
ELECTIONS,ORGANIZATION
CAMPAIGNS,ORGANIZATION
ELECTIONS,ORGANIZATION
POLITICAL,ORGANIZATION
SOCIAL,ORGANIZATION
SOCIETY,ORGANIZATION
SOCIAL,ORGANIZATION
LIFESTYLE,ORGANIZATION
GOSSIP,ORGANIZATION
RUMORS,ORGANIZATION
SOCIAL,ORGANIZATION
BILLING,ORGANIZATION
RECEIVABLES,ORGANIZATION
SOCIAL,ORGANIZATION
SOCIAL,ORGANIZATION
Geographic,PERSON
NEW,ORGANIZATION
INDIA,GPE
CHENNAI,ORGANIZATION
TAMIL,ORGANIZATION
INDIA,GPE
TAMIL,ORGANIZATION
INDIA,GPE
PUDUCHERRY,ORGANIZATION
INDIA,GPE
INDIA,GPE
Document Thalapathy Vijay,ORGANIZATION
Keerthy Suresh,PERSON
Antony Thattil,PERSON
Goa,GPE
Telegraph,GPE
India,GPE
Telegraph,GPE
India,GPE
Contify.com,ORGANIZATION
Byline,PERSON
Tamil,PERSON
Thalapathy Vijay,PERSON
Keerthy Suresh,PERSON
Raghu Thatha,ORGANIZATION
Keerthy,PERSON
Keerthy,PERSON
Antony Thattil,PERSON
Keerthy,PERSON
Antony,PERSON
Goa,GPE
Keerthy,GPE
Antony,PERSON
Keerthy,PERSON
Baby John,PERSON
Jawan,GPE
Atlee,PERSON
Varun Dhawan,PERSON
Wamiqa Gabbi,PERSON
Jackie Shroff,PERSON
Baby,PERSON
John,PERSON
Vijay,GPE
Venkat Prabhu,GPE
GOAT,ORGANIZATION
Tamilaga Vettri Kazhagam,PERSON
Vijay,PERSON
Bobby Deol,PERSON
ACTRESSES,ORGANIZATION
WEDDINGS,ORGANIZATION
ENGAGEMENTS,ORGANIZATION
MARRIAGE,ORGANIZATION
FILM,ORGANIZATION
COURTSHIP,ORGANIZATION
FILM,ORGANIZATION
ELECTIONS,ORGANIZATION
PUBLIC,ORGANIZATION
ACTRESSES,ORGANIZATION
FILM,ORGANIZATION
FILM,ORGANIZATION
Geographic,PERSON
INDIA,GPE
TAMIL,ORGANIZATION
INDIA,GPE
INDIA,GPE
Document,ORGANIZATION
Vijay Gets,PERSON
Scale Security Cover,PERSON
MENAFN,ORGANIZATION
Business,ORGANIZATION
Finance News,ORGANIZATION
English,GPE
Body Link,PERSON
Link,PERSON
Story Tamil,PERSON
Vijay,PERSON
Tamilaga Vettri Kazhagam,ORGANIZATION
TVK,ORGANIZATION
Tamil Nadu,GPE
Ministry,ORGANIZATION
Home Affairs,PERSON
India,GPE
Intelligence Bureau,ORGANIZATION
Read,PERSON
Vijay,PERSON
Union Home Ministry,ORGANIZATION
CRPF,ORGANIZATION
Vijay,PERSON
Centre,ORGANIZATION
Centre,ORGANIZATION
Read,PERSON
Hindi,PERSON
Varun,PERSON
Baby John,PERSON
AIADMK,ORGANIZATION
K P Munusamy,PERSON
Centre,ORGANIZATION
Bhartiya Janata Party,ORGANIZATION
BJP,ORGANIZATION
Tamil Nadu Assembly,ORGANIZATION
GOVERNMENT,ORGANIZATION
CROWD,ORGANIZATION
NATIONAL,ORGANIZATION
CAMPAIGNS,ORGANIZATION
ELECTIONS,ORGANIZATION
ELECTIONS,ORGANIZATION
INTERNAL,ORGANIZATION
Geographic,PERSON
INDIA,GPE
INDIA,GPE
Document,ORGANIZATION
Madras HC,PERSON
Union,PERSON
Vikatan,PERSON
India,GPE
TOI,ORGANIZATION
Bennett Coleman,PERSON
Byline,PERSON
TOI News Desk Body,ORGANIZATION
Madras,ORGANIZATION
Union,GPE
Ananda Vikatan,ORGANIZATION
Narendra Modi,PERSON
US,GPE
Donald,PERSON
India,GPE
Indian,GPE
United,ORGANIZATION
Tamil Nadu,PERSON
BJP,ORGANIZATION
Annamalai,PERSON
PM Modi,ORGANIZATION
Trump,GPE
BJP,ORGANIZATION
Tamil Nadu,PERSON
MK Stalin,ORGANIZATION
Ananda Vikatan,PERSON
BJP,ORGANIZATION
Union,ORGANIZATION
Tamilaga Vettri Kazhagam,PERSON
TVK,ORGANIZATION
Vijay,PERSON
Vijay,PERSON
Union,PERSON
TVK,ORGANIZATION
Tamil Nadu,PERSON
Prasad,PERSON
Reprint Rights,ORGANIZATION
Classification Language,PERSON
COMICS,ORGANIZATION
FASCISM,ORGANIZATION
FREEDOM OF,ORGANIZATION
GOVERNMENT,ORGANIZATION
HEADS OF,ORGANIZATION
MINISTERS,ORGANIZATION
FREEDOM OF,ORGANIZATION
GOVERNMENT,ORGANIZATION
MINISTERS,ORGANIZATION
NATIONAL,ORGANIZATION
FOREIGN,ORGANIZATION
NEGATIVE,ORGANIZATION
PERSONAL,ORGANIZATION
TYPES OF GOVERNMENT,ORGANIZATION
FREEDOM OF,ORGANIZATION
IMMIGRATION,ORGANIZATION
CITIZENSHIP,ORGANIZATION
DISPLACEMENT,ORGANIZATION
COMICS,ORGANIZATION
INTERNET,ORGANIZATION
WEBSITES,ORGANIZATION
WEBSITES,ORGANIZATION
PORTALS,GPE
Person,PERSON
NARENDRA,ORGANIZATION
DONALD,ORGANIZATION
Geographic,PERSON
NEW,ORGANIZATION
INDIA,GPE
CHENNAI,ORGANIZATION
TAMIL,ORGANIZATION
INDIA,GPE
TAMIL,ORGANIZATION
INDIA,GPE
INDIA,GPE
STATES,ORGANIZATION
Document Vijay,ORGANIZATION
Madurai,GPE
Hindustan Times,PERSON
Dateline,PERSON
India,GPE
India,GPE
Tamilaga Vettri Kazhagam,PERSON
TVK,ORGANIZATION
Vijay,PERSON
Chennai,GPE
Madurai,GPE
Jana Nayagan,PERSON
Coimbatore,ORGANIZATION
Vijay,PERSON
Chennai,FACILITY
Madurai,PERSON
Federal,ORGANIZATION
Tamil,GPE
Madurai,GPE
Kodaikanal,ORGANIZATION
Jana Nayagan,ORGANIZATION
Vijay,PERSON
Madurai,GPE
ANI,ORGANIZATION
Vijay,PERSON
TVK,ORGANIZATION
Vijay,PERSON
Vijay,GPE
Vinoth,PERSON
Jana Nayagan,PERSON
Pooja Hegde,PERSON
Bobby Deol,PERSON
Mamitha Baiju,PERSON
HT Digital Content Services,ORGANIZATION
Hindustan Times,GPE
SAFETY,GPE
ACTORS,ORGANIZATION
ACTRESSES,ORGANIZATION
BICYCLE,ORGANIZATION
PHOTO,ORGANIZATION
VIDEO,ORGANIZATION
DISINFORMATION,ORGANIZATION
MISINFORMATION,ORGANIZATION
GOSSIP,ORGANIZATION
RUMORS,ORGANIZATION
SOCIAL,ORGANIZATION
SOCIAL,ORGANIZATION
MEDIA,ORGANIZATION
CROWD,ORGANIZATION
ACTORS,ORGANIZATION
ACTRESSES,ORGANIZATION
MEDIA,ORGANIZATION
BICYCLE,ORGANIZATION
PHOTO,ORGANIZATION
VIDEO,ORGANIZATION
SOCIAL,ORGANIZATION
SOCIAL,ORGANIZATION
MEDIA,ORGANIZATION
Geographic,PERSON
CHENNAI,ORGANIZATION
TAMIL,ORGANIZATION
INDIA,GPE
INDIA,GPE
Document Patra,ORGANIZATION
BJP,ORGANIZATION
Manipur,PERSON
India,GPE
Electronic Edition,ORGANIZATION
Kolkata Edition,PERSON
Bennett Coleman,PERSON
Body New Delhi,PERSON
Union,ORGANIZATION
Tibetan,GPE
Dalai Lamaon,PERSON
Bharti Jain,PERSON
Sources,GPE
India,GPE
China,GPE
Tibet,GPE
Beijing,GPE
Tibetan,GPE
CRPF,ORGANIZATION
Dalai Lama,PERSON
Dharamshala,GPE
Himachal Pradesh,ORGANIZATION
India,GPE
VIPs,ORGANIZATION
Joseph Vijay Chandrasekhar,PERSON
Vijay,PERSON
Tamilaga Vettri Kazhagam,PERSON
TVK,ORGANIZATION
BJP,ORGANIZATION
Manipur,GPE
Sambit Patra,PERSON
Vijay,PERSON
BJP,ORGANIZATION
DMK,ORGANIZATION
TN,GPE
Patra,PERSON
Manipur,GPE
Dalai Lama,PERSON
Himachal,GPE
CRPF,ORGANIZATION
CRPF,ORGANIZATION
Dalai Lama,PERSON
PUBLIC,ORGANIZATION
INTELLIGENCE,ORGANIZATION
Person,PERSON
DALAI LAMA,PERSON
Geographic,PERSON
NEW,ORGANIZATION
INDIA,GPE
BEIJING,GPE
CHINA,GPE
TIBET,GPE
CHINA,GPE
MANIPUR,ORGANIZATION
INDIA,GPE
SOUTHWEST,ORGANIZATION
CHINA,GPE
HIMACHAL,ORGANIZATION
INDIA,GPE
NORTH,ORGANIZATION
CENTRAL,ORGANIZATION
CHINA,GPE
INDIA,GPE
CHINA,GPE
Document Tamil,ORGANIZATION
Bihar,GPE
Asian News International,PERSON
ANI,ORGANIZATION
Asian,GPE
ANI,ORGANIZATION
Syndigate Media Inc.,ORGANIZATION
Byline,PERSON
ANI,ORGANIZATION
Tamil Nadu,PERSON
India,GPE
ANI,ORGANIZATION
Viduthalai Chiruthaigal Katchi,PERSON
VCK,ORGANIZATION
Thol Thirumavalavan,PERSON
Bharatiya Janata Party,ORGANIZATION
Union,ORGANIZATION
Union,GPE
Corona,GPE
BJP,ORGANIZATION
Thirumavalavan,PERSON
Madurai,GPE
Bihar,ORGANIZATION
BJP,ORGANIZATION
Bihar,GPE
Bihar,GPE
BJP,ORGANIZATION
VCK,ORGANIZATION
DMK,ORGANIZATION
VCK,ORGANIZATION
Actor Vijay,PERSON
Tamilaga Vettri Kazhagam,PERSON
TVK,ORGANIZATION
Thirumavalavan,PERSON
DMK,ORGANIZATION
Vijay,PERSON
DMK,ORGANIZATION
Tamil Nadu Assembly,ORGANIZATION
ANI,ORGANIZATION
Viduthalai Chiruthaigal Katchi,PERSON
VCK,ORGANIZATION
Thol Thirumavalavan,PERSON
Image,GPE
Classification Language,ORGANIZATION
CENSUS,ORGANIZATION
ELECTIONS,ORGANIZATION
PUBLIC,ORGANIZATION
ELECTIONS,ORGANIZATION
CAMPAIGNS,ORGANIZATION
ELECTIONS,ORGANIZATION
CABINET,ORGANIZATION
POPULATION,ORGANIZATION
DEMOGRAPHICS,ORGANIZATION
POPULATION,ORGANIZATION
Geographic,PERSON
INDIA,GPE
TAMIL,ORGANIZATION
INDIA,GPE
INDIA,GPE
Document Dalai,ORGANIZATION
India,GPE
Electronic Edition,ORGANIZATION
Delhi Edition,PERSON
Bennett Coleman,PERSON
Body New Delhi,PERSON
Union,ORGANIZATION
Tibetan,GPE
Dalai Lama,PERSON
Bharti Jain,PERSON
Sources,GPE
India,GPE
China,GPE
Tibet,GPE
Beijing,GPE
Tibetan,GPE
CRPF,ORGANIZATION
Dalai Lama,PERSON
Dharamshala,GPE
Himachal Pradesh,ORGANIZATION
India,GPE
VIPs,ORGANIZATION
Joseph Vijay Chandrasekhar,PERSON
Vijay,PERSON
Tamilaga Vettri Kazhagam,PERSON
TVK,ORGANIZATION
BJP,ORGANIZATION
Manipur,GPE
Sambit Patra,PERSON
CRPF,ORGANIZATION
Vijay,PERSON
BJP,ORGANIZATION
DMK,ORGANIZATION
Tamil Nadu,GPE
Patra,PERSON
Manipur,GPE
Dalai Lama,PERSON
Himachal,GPE
CRPF,ORGANIZATION
CRPF,ORGANIZATION
Dalai Lama,PERSON
PUBLIC,ORGANIZATION
INTELLIGENCE,ORGANIZATION
Person,PERSON
DALAI LAMA,PERSON
Geographic,PERSON
NEW,ORGANIZATION
INDIA,GPE
BEIJING,GPE
CHINA,GPE
TIBET,GPE
CHINA,GPE
SOUTHWEST,ORGANIZATION
CHINA,GPE
HIMACHAL,ORGANIZATION
INDIA,GPE
MANIPUR,ORGANIZATION
INDIA,GPE
TAMIL,ORGANIZATION
INDIA,GPE
NORTH,ORGANIZATION
CENTRAL,ORGANIZATION
CHINA,GPE
INDIA,GPE
CHINA,GPE
Document Tamil,ORGANIZATION
Vijay,PERSON
BJP Manipur,ORGANIZATION
Patra,PERSON
India,GPE
Electronic Edition,ORGANIZATION
Mumbai Edition,PERSON
Bennett Coleman,PERSON
Body New Delhi,PERSON
Union,ORGANIZATION
Tibetan,GPE
Dalai Lama,PERSON
Bharti Jain,PERSON
Sources,GPE
India,GPE
China,GPE
Tibet,GPE
Beijing,GPE
Tibetan,GPE
CRPF,ORGANIZATION
Dalai Lama,PERSON
Dharamshala,GPE
Himachal Pradesh,ORGANIZATION
India,GPE
Tamil,GPE
Joseph Vijay Chandrasekhar,PERSON
Vijay,PERSON
Tamilaga Vettri Kazhagam,PERSON
TVK,ORGANIZATION
BJP,ORGANIZATION
Manipur Sambit Patra,PERSON
CRPF,ORGANIZATION
Vijay,PERSON
BJP,ORGANIZATION
DMK,ORGANIZATION
Tamil Nadu,GPE
Patra,PERSON
Manipur,GPE
Dalai Lama,PERSON
Himachal Pradesh,PERSON
CRPF,ORGANIZATION
CRPF,ORGANIZATION
Dalai Lama,PERSON
INTELLIGENCE,ORGANIZATION
SERVICES,ORGANIZATION
Person,PERSON
DALAI LAMA,PERSON
Geographic,PERSON
NEW,ORGANIZATION
INDIA,GPE
BEIJING,GPE
CHINA,GPE
TIBET,GPE
CHINA,GPE
MANIPUR,ORGANIZATION
INDIA,GPE
SOUTHWEST,ORGANIZATION
CHINA,GPE
HIMACHAL,ORGANIZATION
INDIA,GPE
TAMIL,ORGANIZATION
INDIA,GPE
NORTH,ORGANIZATION
CENTRAL,ORGANIZATION
CHINA,GPE
INDIA,GPE
CHINA,GPE
Document,ORGANIZATION
India,GPE
TOI,ORGANIZATION
Bennett Coleman,PERSON
CHENNAI Length,ORGANIZATION
Byline,PERSON
Bosco Dominique Body,PERSON
Rajya Sabha MP Anbumani Ramadoss,PERSON
Tamil Nadu,GPE
PMK,ORGANIZATION
Ranipet,ORGANIZATION
Anbumani,PERSON
PMK,ORGANIZATION
Vijay,PERSON
Tamilaga Vettri Kazhagam,PERSON
M K Stalin,PERSON
Coimbatore,GPE
Anbumani,PERSON
Stalin,PERSON
Balaji,PERSON
Balaji,GPE
Stalin,PERSON
Tamizh Thai Vazthu,PERSON
DMK,ORGANIZATION
Cuddalore,ORGANIZATION
Goondas Act,ORGANIZATION
PMK,ORGANIZATION
Reprint Rights,ORGANIZATION
Classification Language,PERSON
NEGATIVE,ORGANIZATION
ELECTIONS,ORGANIZATION
GOVERNMENT,ORGANIZATION
MINISTERS,ORGANIZATION
BAIL,ORGANIZATION
Geographic,PERSON
CHENNAI,ORGANIZATION
TAMIL,ORGANIZATION
INDIA,GPE
TAMIL,ORGANIZATION
INDIA,GPE
INDIA,GPE
Document Vijay,ORGANIZATION
TVK,ORGANIZATION
Waqf Bill,PERSON
Tamil Nadu,GPE
Dateline,PERSON
Delhi Body Chennai,PERSON
Tamilaga Vettri Kazhagam,PERSON
TVK,ORGANIZATION
Tamil,PERSON
Vijay,PERSON
Waqf,GPE
Bill,PERSON
Bill,PERSON
Lok Sabha,ORGANIZATION
TVK,ORGANIZATION
Tamil Nadu.,PERSON
Vijay,PERSON
Waqf,GPE
Lok Sabha,ORGANIZATION
National Democratic Alliance,ORGANIZATION
NDA,ORGANIZATION
Bill,PERSON
Union Minister,PERSON
Minority Affairs Kiren Rijiju,ORGANIZATION
India,GPE
India,GPE
India,GPE
Rijiju,PERSON
Tamil Nadu,PERSON
Stalin,PERSON
DMK,ORGANIZATION
Supreme Court,ORGANIZATION
Vijay,PERSON
TVK,ORGANIZATION
Vijay,PERSON
TVK,ORGANIZATION
Earlier,PERSON
Vijay,PERSON
TVK,ORGANIZATION
Waqf,GPE
Bill,PERSON
DEMONSTRATIONS,ORGANIZATION
PUBLIC,ORGANIZATION
GOVERNMENT,ORGANIZATION
MINORITY,ORGANIZATION
NEGATIVE,ORGANIZATION
MISC,ORGANIZATION
CAMPAIGNS,ORGANIZATION
ELECTIONS,ORGANIZATION
ELECTIONS,ORGANIZATION
GOVERNMENT,ORGANIZATION
MINISTERS,ORGANIZATION
ELECTIONS,ORGANIZATION
CORRUPTION,ORGANIZATION
NEGATIVE,ORGANIZATION
POLITICAL,ORGANIZATION
POLITICAL,ORGANIZATION
REGIONAL,ORGANIZATION
LOCAL,ORGANIZATION
LAW,ORGANIZATION
LEGAL,ORGANIZATION
POLITICAL,ORGANIZATION
RELIGIOUS,ORGANIZATION
Geographic,PERSON
NEW,ORGANIZATION
INDIA,GPE
CHENNAI,ORGANIZATION
TAMIL,ORGANIZATION
INDIA,GPE
TAMIL,ORGANIZATION
INDIA,GPE
INDIA,GPE
Document Vijay,ORGANIZATION
TVK,ORGANIZATION
India,GPE
Online,PERSON
India,GPE
Body Actor Vijay,PERSON
Tamilaga Vettri Kazhagam,ORGANIZATION
TVK,ORGANIZATION
Thiruvanmiyur,GPE
Tamil Nadu,GPE
TVK,ORGANIZATION
Centre,ORGANIZATION
Waqf Amendment Bill,PERSON
Language,GPE
TVK,ORGANIZATION
Centre,ORGANIZATION
South,GPE
Indian,GPE
TVK,ORGANIZATION
Centre,ORGANIZATION
Dravida Munnetra Kazhagam,PERSON
DMK,ORGANIZATION
TVK,ORGANIZATION
Tamil Nadu,GPE
Tasmac,PERSON
DMK,ORGANIZATION
BJP,ORGANIZATION
TVK,ORGANIZATION
TVK,ORGANIZATION
Tamil Nadu,ORGANIZATION
Periyar,PERSON
Telangana,GPE
DMK,ORGANIZATION
Tamil Nadu,PERSON
Sri Lankan Navy,ORGANIZATION
Tamil Nadu,PERSON
Gujarat,GPE
TVK,ORGANIZATION
TVK,ORGANIZATION
Parandhur,ORGANIZATION
Link,GPE
Image Graphic Vijay,PERSON
TVK,ORGANIZATION
Classification Language,PERSON
LANGUAGE,ORGANIZATION
LANGUAGES,ORGANIZATION
GOVERNMENT,ORGANIZATION
NEGATIVE,ORGANIZATION
SOCIETY,ORGANIZATION
SOCIAL,ORGANIZATION
LIFESTYLE,ORGANIZATION
TALKS,ORGANIZATION
MEETINGS,ORGANIZATION
FISHING,ORGANIZATION
WORKERS,ORGANIZATION
MINORITY,ORGANIZATION
PUBLIC,ORGANIZATION
HEADS OF,ORGANIZATION
NATIONAL,ORGANIZATION
FOREIGN,ORGANIZATION
NEGATIVE,ORGANIZATION
SOCIETAL,ORGANIZATION
TYPES OF GOVERNMENT,ORGANIZATION
LAW,ORGANIZATION
CORRECTIONS,ORGANIZATION
REGIONAL,ORGANIZATION
LOCAL,ORGANIZATION
SAFETY,GPE
SEX,ORGANIZATION
SOCIETAL,ORGANIZATION
CRIMINAL,ORGANIZATION
MINISTERS,ORGANIZATION
CIVIL,ORGANIZATION
WORKERS,ORGANIZATION
AIRPORTS,ORGANIZATION
Geographic,PERSON
INDIA,GPE
GUJARAT,ORGANIZATION
INDIA,GPE
SOUTH,ORGANIZATION
TELANGANA,ORGANIZATION
INDIA,GPE
INDIA,GPE
Document,ORGANIZATION
Vijay,PERSON
Dateline,PERSON
Delhi Body,PERSON
Tamilaga Vettri Kazhagam,ORGANIZATION
TVK,ORGANIZATION
Tamil,GPE
Vijay,PERSON
TVK,ORGANIZATION
Vijay,PERSON
TVK,ORGANIZATION
All India Anna Dravida Munnetra Kazhagam,ORGANIZATION
AIADMK,ORGANIZATION
TVK,ORGANIZATION
Vijay,GPE
Tamil Nadu,PERSON
Vijay Makkal Iyakkam,PERSON
Vijay,PERSON
TVK,ORGANIZATION
Vijay,PERSON
Tamil Nadu,PERSON
TVK,ORGANIZATION
Villupuram,GPE
Vijay,PERSON
Dravidian,GPE
Tamil,PERSON
Vikkaravandi,GPE
Vijay,PERSON
Dravida Munnetra Kazhagam,PERSON
DMK,ORGANIZATION
Dravidian,GPE
Bharatiya Janata Party,ORGANIZATION
BJP,ORGANIZATION
Vijay,PERSON
TVK,ORGANIZATION
Naam Tamilar Katchi,PERSON
NTK,ORGANIZATION
Seeman,PERSON
Vijay,PERSON
TVK,ORGANIZATION
TVK,ORGANIZATION
Tamil Nadu,GPE
ELECTIONS,ORGANIZATION
CAMPAIGNS,ORGANIZATION
ELECTIONS,ORGANIZATION
GOVERNMENT,ORGANIZATION
MINISTERS,ORGANIZATION
POLITICAL,ORGANIZATION
SOCIAL,ORGANIZATION
POLITICAL,ORGANIZATION
POLITICAL,ORGANIZATION
SOCIETY,ORGANIZATION
SOCIAL,ORGANIZATION
LIFESTYLE,ORGANIZATION
TALKS,ORGANIZATION
MEETINGS,ORGANIZATION
PUBLIC,ORGANIZATION
GOSSIP,ORGANIZATION
RUMORS,ORGANIZATION
NEGATIVE,ORGANIZATION
MISC,ORGANIZATION
NEGATIVE,ORGANIZATION
CORRUPTION,ORGANIZATION
SOCIAL,ORGANIZATION
SOCIAL,ORGANIZATION
Geographic,PERSON
NEW,ORGANIZATION
INDIA,GPE
TAMIL,ORGANIZATION
INDIA,GPE
INDIA,GPE
Document,ORGANIZATION
Vijay,PERSON
Tamil Nadu,PERSON
TVK Asian News International,ORGANIZATION
ANI,ORGANIZATION
Asian,GPE
ANI,ORGANIZATION
Syndigate Media Inc.,ORGANIZATION
Byline,PERSON
ANI,ORGANIZATION
Tamil Nadu,PERSON
India,GPE
ANI,ORGANIZATION
Jan Suraaj Party,PERSON
Tamilaga Vettri Kazhagam,PERSON
TVK,ORGANIZATION
Vijay,PERSON
Kishor,PERSON
TVK,ORGANIZATION
Vijay,GPE
Dravidian Parties,ORGANIZATION
Assembly,ORGANIZATION
Prashanth,PERSON
Kishor,PERSON
Vijay,PERSON
Vijay,PERSON
Tamil Nadu,PERSON
TVK,ORGANIZATION
Tamil Nadu,GPE
TVK,ORGANIZATION
Vijay,PERSON
Prashanth,PERSON
Kishor,PERSON
DMK,ORGANIZATION
TVK,ORGANIZATION
Vijay,PERSON
Centre,ORGANIZATION
Kindergarten,GPE
LKG,ORGANIZATION
UKG,ORGANIZATION
BJP,ORGANIZATION
DMK,ORGANIZATION
Hashtags,PERSON
Vijay,PERSON
ANI,ORGANIZATION
Jan Suraaj,PERSON
TVK,ORGANIZATION
Vijay,GPE
Image,GPE
Classification Language,ORGANIZATION
ELECTIONS,ORGANIZATION
CAMPAIGNS,ORGANIZATION
ELECTIONS,ORGANIZATION
PUBLIC,ORGANIZATION
NEGATIVE,ORGANIZATION
PERSONAL,ORGANIZATION
REGIONAL,ORGANIZATION
LOCAL,ORGANIZATION
GOVERNMENT,ORGANIZATION
STUDENTS,ORGANIZATION
STUDENT,ORGANIZATION
NEGATIVE,ORGANIZATION
Geographic,PERSON
CHENNAI,ORGANIZATION
TAMIL,ORGANIZATION
INDIA,GPE
TAMIL,ORGANIZATION
INDIA,GPE
INDIA,GPE
Document,ORGANIZATION
Thalapathy Vijay,ORGANIZATION
TVK,ORGANIZATION
TIMES,ORGANIZATION
COMPANY,ORGANIZATION
INDIA,ORGANIZATION
Byline,PERSON
Body Tamil,PERSON
Vijay,PERSON
Tamilaga Vettri Kazhagam,PERSON
TVK,ORGANIZATION
Tamilaga Vettri Kazhagam,ORGANIZATION
TVK,ORGANIZATION
TVK,ORGANIZATION
Panaiyur,GPE
Tamil Nadu,PERSON
Victory,GPE
Vijay,PERSON
TOI,ORGANIZATION
TVK,ORGANIZATION
Vikravandi,GPE
Villupuram,GPE
Tamil Nadu,PERSON
Vijay,PERSON
Vijay,PERSON
Tamil Nadu,GPE
Vijay,PERSON
TVK Flag,ORGANIZATION
Thalapathy Vijay,PERSON
TVK,ORGANIZATION
Spain,GPE
Spain,GPE
Elephant,ORGANIZATION
Spain,GPE
Spain,GPE
Spain,GPE
Vijay,PERSON
TVK,ORGANIZATION
Tamil Nadu,PERSON
Tamil Nadu,PERSON
Vijay,PERSON
TOI,ORGANIZATION
Vijay,PERSON
Chennai,GPE
Tamil,GPE
TVK,ORGANIZATION
Vijay,PERSON
Shobha Chandrasekhar,PERSON
N Anand,PERSON
Kodi Parakkuthu,PERSON
Thalaivan Ugam Pirakkuthu,PERSON
Tamil,GPE
PUBLIC,ORGANIZATION
CAMPAIGNS,ORGANIZATION
ELECTIONS,ORGANIZATION
ELECTIONS,ORGANIZATION
VIRAL,ORGANIZATION
MULTINATIONAL,ORGANIZATION
VIRAL,ORGANIZATION
Geographic,PERSON
INDIA,GPE
SOUTH,ORGANIZATION
INDIA,GPE
SPAIN,GPE
EUROPE,GPE
ASIA,GPE
SOUTHERN,ORGANIZATION
Tamil Nadu,PERSON
India,GPE
Spain,GPE
Asia,GPE
Southern Asia,LOCATION
Europe,GPE
Southern Europe,GPE
Document Vijay,ORGANIZATION
TVK,ORGANIZATION
Vikravandi,GPE
Hindu,ORGANIZATION
Hindu,ORGANIZATION
Dateline,PERSON
Delhi Body Actor Vijay,PERSON
Tamilaga Vettri Kazhagam,PERSON
Vikravandi,GPE
Villupuram,GPE
Mr. Vijay,PERSON
Centre,ORGANIZATION
Dravidian,GPE
Periyar,PERSON
Ramasamy,GPE
Annadurai,GPE
Mr.,PERSON
Vijay,PERSON
Mr. Vijay,PERSON
Tamil Nadu,PERSON
Tamil,PERSON
Tamil,PERSON
Dravidian,GPE
Periyar,PERSON
Annadurai,PERSON
Dravidian,GPE
Mr. Vijay,PERSON
Villupuram,GPE
Tamil Nadu,PERSON
DMDK,ORGANIZATION
VCK,ORGANIZATION
PMK,ORGANIZATION
PUBLIC,ORGANIZATION
GOVERNMENT,ORGANIZATION
MINISTERS,ORGANIZATION
Geographic,PERSON
NEW,ORGANIZATION
INDIA,GPE
TAMIL,ORGANIZATION
INDIA,GPE
INDIA,GPE
Document,ORGANIZATION
Stalin,PERSON
EPS,ORGANIZATION
International Labour,ORGANIZATION
Dateline,PERSON
Delhi Body Chennai,PERSON
Tamil Nadu,PERSON
Dravida Munnetra Kazhagam,PERSON
DMK,ORGANIZATION
International Labour,ORGANIZATION
CM,ORGANIZATION
Stalin,PERSON
Happy International Workers,PERSON
Fundamental,ORGANIZATION
CM Stalin,ORGANIZATION
Leader,ORGANIZATION
Tamil,GPE
General,ORGANIZATION
AIADMK,ORGANIZATION
Edappadi K. Palaniswami,PERSON
EPS,ORGANIZATION
Tamilaga Vettri Kazhagam,PERSON
TVK,ORGANIZATION
Vijay,PERSON
BJP,ORGANIZATION
Nainar Nagendran,PERSON
K Annamalai,PERSON
Nainar Nagendran,PERSON
BJP National,ORGANIZATION
K Annamalai,PERSON
Labour,ORGANIZATION
Annamalai,PERSON
Tamil,GPE
Ajith Kumar,PERSON
Padma Bhushan,ORGANIZATION
