entity,type
TRICHY,ORGANIZATION
Tamil,GPE
Thalapathy,GPE
Vijay Launches Political Party,PERSON
MENAFN,ORGANIZATION
Business,ORGANIZATION
Finance News,ORGANIZATION
English,GPE
Thalapathy,GPE
Vijay,PERSON
TVK Flag Anthem,ORGANIZATION
Thalapathy,GPE
Vijay,PERSON
Embark,GPE
MENAFN,ORGANIZATION
Business,ORGANIZATION
Finance News,ORGANIZATION
English,GPE
TVK Chief,ORGANIZATION
Vijay Opposes,PERSON
Tamil,GPE
Zee,ORGANIZATION
TVK,ORGANIZATION
Vijay,PERSON
Parandur,ORGANIZATION
Asian,GPE
News International,ORGANIZATION
ANI,ORGANIZATION
ANI,ORGANIZATION
Thalapathy Vijay,GPE
International Business Times India Bhavana,ORGANIZATION
DMK,ORGANIZATION
Centre,PERSON
NEP,ORGANIZATION
Tamil,GPE
Tamilaga Vettri Kazhagam,PERSON
Tamil,PERSON
Vijay,PERSON
Tamilaga Vetri Kazhagam,PERSON
TVK,ORGANIZATION
Tamil Nadu,PERSON
Victory Party,ORGANIZATION
Indian,GPE
TVK,ORGANIZATION
Vijay,PERSON
UNI,ORGANIZATION
United News,ORGANIZATION
India,GPE
TVK,ORGANIZATION
Vijay,PERSON
Tamil Nadu,PERSON
India,GPE
Her Shoulder,PERSON
Truth,ORGANIZATION
India,GPE
Manisha Karki,PERSON
Vijay,PERSON
India,GPE
TVK,ORGANIZATION
Vijay Thalapathy Hoists Party Flag,PERSON
Future Generation Of Tamil Nadu,ORGANIZATION
India,GPE
INDIAN,GPE
SUBCONTINENT,ORGANIZATION
Digital,ORGANIZATION
Madurai,GPE
Vijay,PERSON
India,GPE
TOI,ORGANIZATION
Erode,GPE
East,GPE
India,GPE
Vijay,PERSON
Republic,ORGANIZATION
India,GPE
Thalapathy,GPE
Vijay,PERSON
TVK Flag Anthem,ORGANIZATION
Thalapathy,GPE
Vijay Appeals Youth,PERSON
Avoid,PERSON
Drugs,PERSON
Tamil Nadu,PERSON
DMK Govt Has,ORGANIZATION
Miserably,PERSON
VIDEO,ORGANIZATION
India,GPE
Shefali Fernandes,PERSON
Tamil,PERSON
Nadu,ORGANIZATION
India,GPE
Vijay,PERSON
Supreme Court,ORGANIZATION
Waqf Act,PERSON
India,GPE
Vijay,PERSON
DMK,ORGANIZATION
India,GPE
TOI,ORGANIZATION
TRICHY,ORGANIZATION
Director,PERSON
Lokesh Kanagaraj,PERSON
Vijay,PERSON
India,GPE
Thalapathy,GPE
Vijay,PERSON
Pawan Kalyan,PERSON
Andhra,GPE
Actor,PERSON
Vijay,PERSON
Party Marks Milestone,ORGANIZATION
Eyes Major Political Shift,PERSON
Tamil,GPE
Indian,GPE
Media,ORGANIZATION
AIADMK,ORGANIZATION
DMDK,ORGANIZATION
Indian,GPE
Vijay,PERSON
Asian,GPE
News International,ORGANIZATION
ANI,ORGANIZATION
DMDK,ORGANIZATION
Tamil Nadu,PERSON
BJP,ORGANIZATION
India,GPE
Actor,PERSON
Vijay,PERSON
Seeman,GPE
Vijay,PERSON
India,GPE
TOI,ORGANIZATION
Kishor,GPE
Vijay,PERSON
Thalapathy,GPE
Vijay,PERSON
Pawan Kalyan,PERSON
Andhra,GPE
Tamil Nadu CM MK Stalin,PERSON
Ugadi,PERSON
Mohanlal,GPE
Kamal Haasan,PERSON
Varalaxmi Greet Vijay,PERSON
LATEST Times,ORGANIZATION
Digital,ORGANIZATION
AIADMK,ORGANIZATION
DMDK,ORGANIZATION
MENAFN,ORGANIZATION
Business,ORGANIZATION
Finance News,ORGANIZATION
English,GPE
Pawan Kalyan,PERSON
Tamil Superstar,PERSON
Politician Thalapathy Vijay,PERSON
India,GPE
Indian,GPE
SRI,ORGANIZATION
